City,Year,Sport,Discipline,Event,Athlete,Gender,Country,Medal
Montreal,1976,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Women,East Germany,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Men,United States,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Men,Italy,Silver
Montreal,1976,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Women,United States,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Men,United States,Silver
Montreal,1976,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Women,Soviet Union,Gold
Montreal,1976,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Women,United States,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Men,Italy,Gold
Montreal,1976,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Women,Sweden,Silver
Montreal,1976,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Men,Australia,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Men,East Germany,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Gold
Montreal,1976,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Men,United Kingdom,Gold
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Women,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"THÜMER, Petra",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",Women,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",Men,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"GOODELL, Brian Stuart",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"PICKELL, Stephen",Men,Canada,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"HARRIGAN, Daniel Lee",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"KOTHER-GABRIEL, Rosemarie",Women,East Germany,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"POLLACK, Andrea",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"MONTGOMERY, James Paul",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m breaststroke,"YURCHENYA, Marina",Women,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,200m backstroke,"TREIBER, Birgit",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"RUSANOVA, Lyubov",Women,Soviet Union,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"BOGLIOLI, Wendy Lansbach",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BRUNER, Michael Lee",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,"TREIBER, Birgit",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"HENCKEN, John Frederick",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"BABASHOFF, Jack, Jr.",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,200m butterfly,"POLLACK, Andrea",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"BRIGITHA, Enith",Women,Netherlands,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"SIERING, Laura Gail",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,400m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"KOPLYAKOV, Sergei",Men,Soviet Union,Silver
Montreal,1976,Aquatics,Swimming,200m breaststroke,"COLELLA, Richard Phillip Jr.",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"NABER, John Phillips",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"BABASHOFF, Shirley Farber",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,100m backstroke,"GARAPICK, Nancy Ellen",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"STEINBACH, Klaus",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"STERKEL, Gillian Ann",Women,United States,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"NOCKE, Peter",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,200m butterfly,"FORRESTER, William Ronald, Jr.",Men,United States,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"NOCKE, Peter",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"HENCKEN, John Frederick",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,100m breaststroke,"ANKE, Hannelore",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"POLLACK, Andrea",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"KUSCH, Walter",Men,West Germany,Bronze
Montreal,1976,Aquatics,Swimming,400m freestyle,"SMITH, Shannon",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"CORSIGLIA, Robin Marie",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,100m backstroke,"RICHTER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,1500m freestyle,"HACKETT, Robert William",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,100m breaststroke,"WILKIE, David Andrew",Men,United Kingdom,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"BRINKLEY, Brian",Men,United Kingdom,Bronze
Montreal,1976,Aquatics,Swimming,100m breaststroke,"HENCKEN, John Frederick",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,200m freestyle,"NABER, John Phillips",Men,United States,Silver
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,"FURNISS, Bruce Macfarlane",Men,United States,Gold
Montreal,1976,Aquatics,Swimming,4x100m medley relay,"JEZEK, Linda Louise",Women,United States,Silver
Montreal,1976,Aquatics,Swimming,100m freestyle,"PRIEMER, Petra",Women,East Germany,Silver
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,"JARDIN, Anne Elizabeth",Women,Canada,Bronze
Montreal,1976,Aquatics,Swimming,200m backstroke,"RICHTER, Ulrike",Women,East Germany,Gold
Montreal,1976,Aquatics,Swimming,100m freestyle,"ENDER, Kornelia",Women,East Germany,Gold
Montreal,1976,Aquatics,Water polo,water polo,"DE ZWARTE, Pieter",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"VEER, Jan Evert",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"KROON, Evert Gerrit",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"HORKAI, Gyorgy",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"CASTAGNOLA, Luigi",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SMITS, Hans",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"STROBOER, Gijsbert (Gijs)",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"CSAPO, Gabor",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"CSERVENYAK, Tibor",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"GERENDAS, Gyorgy",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"BUUNK, Antoon G.J.",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"SUDAR, Attila",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"KENEZ, Gyorgy",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"MOLNAR, Endre",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"BOEGSCHOTEN, Alexander",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"SAROSI, Laszlo",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"DEL DUCA, Marcello",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SIMEONI, Roldano",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"ALBERANI SAMARITANI, Alberto",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"BARACCHINI, Silvio",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"PANERAI, Umberto",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"MARSILI, Sante",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"DE MAGISTRIS, Gianni",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"KONRAD, Ferenc",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"TOONEN, Hendrik (Rik)",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"DE MAGISTRIS, Riccardo",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"SZIVOS, Istvan",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"LANDEWEERD, Nicolaas",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"FARAGO, Tamas",Men,Hungary,Gold
Montreal,1976,Aquatics,Water polo,water polo,"HOEPELMAN, Andries",Men,Netherlands,Bronze
Montreal,1976,Aquatics,Water polo,water polo,"GHIBELLINI, Alessandro",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"D, Vincenzo",Men,Italy,Silver
Montreal,1976,Aquatics,Water polo,water polo,"VAN ZEELAND, Hans",Men,Netherlands,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"RYON, Luann Marie",Women,United States,Gold
Montreal,1976,Archery,Archery,individual FITA round,"PACE, Darrell Owen",Men,United States,Gold
Montreal,1976,Archery,Archery,individual FITA round,"MICHINAGA, Hiroshi",Men,Japan,Silver
Montreal,1976,Archery,Archery,individual FITA round,"FERRARI, Giancarlo",Men,Italy,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"RUSTAMOVA, Zebiniso",Women,Soviet Union,Bronze
Montreal,1976,Archery,Archery,individual FITA round,"KOVPAN, Valentina",Women,Soviet Union,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"STROPAHL-STREIDT, Ellen",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"RICHTER-IRRGANG, Annegret",Women,West Germany,Silver
Montreal,1976,Athletics,Athletics,long jump,"ROBINSON, Arnie",Men,United States,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"HERRMANN, Bernd",Men,West Germany,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"FRAZIER, Herman Ronald",Men,United States,Gold
Montreal,1976,Athletics,Athletics,high jump,"WITSCHAS-ACKERMANN, Rosemarie",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,"SCHALLER-KLIER, Johanna",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,400m,"JUANTORENA, Alberto",Men,Cuba,Gold
Montreal,1976,Athletics,Athletics,5000m,"HILDENBRAND, Klaus-Peter",Men,West Germany,Bronze
Montreal,1976,Athletics,Athletics,100m,"STECHER, Renate",Women,East Germany,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"RIDDICK, Steven Earl",Men,United States,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"BODNER-LASER, Christine",Women,East Germany,Silver
Montreal,1976,Athletics,Athletics,long jump,"WARTENBERG, Frank",Men,East Germany,Bronze
Montreal,1976,Athletics,Athletics,200m,"EVANS, Dwayne Eugene",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,200m,"HAMPTON, Millard Frank Jr.",Men,United States,Silver
Montreal,1976,Athletics,Athletics,hammer throw,"SEDYKH, Yuri",Men,Soviet Union,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"POLLAK, Burglinde",Women,East Germany,Bronze
Montreal,1976,Athletics,Athletics,decathlon,"AVILOV, Nikolai",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,high jump,"STONES, Dwight Edwin",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,800m,"WOHLHUTER, Richard Charles",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,100m hurdles,"ANISIMOVA, Tatiana",Women,Soviet Union,Silver
Montreal,1976,Athletics,Athletics,800m,"KAZANKINA, Tatiana",Women,Soviet Union,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"WERNER, Jan",Men,Poland,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"THIEME, Alexander",Men,East Germany,Silver
Montreal,1976,Athletics,Athletics,200m,"STECHER, Renate",Women,East Germany,Bronze
Montreal,1976,Athletics,Athletics,shot put,"BARYSHNIKOV, Aleksandr",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,high jump,"JOY, Gregory",Men,Canada,Silver
Montreal,1976,Athletics,Athletics,hammer throw,"BONDARCHUK, Anatoli",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,100m,"BORZOV, Valery",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,800m,"CHTEREVA, Nikolina",Women,Bulgaria,Silver
Montreal,1976,Athletics,Athletics,3000m steeplechase,"MALINOWSKI, Bronislaw",Men,Poland,Silver
Montreal,1976,Athletics,Athletics,1500m,"HOFFMEISTER, Gunhild",Women,East Germany,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"INGRAM, Sheila Rena",Women,United States,Silver
Montreal,1976,Athletics,Athletics,triple jump,"BUTTS, James A.",Men,United States,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"PARKS, Maxwell Lander",Men,United States,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"ANISIMOVA, Vera",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,discus throw,"SCHMIDT, Wolfgang",Men,East Germany,Silver
Montreal,1976,Athletics,Athletics,javelin throw,"SCHMIDT, Kathryn Joan",Women,United States,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"BRYANT, Rosalyn Evette",Women,United States,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"OELSNER-GÖHR, Marlies",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,1500m,"WELLMANN, Paul-Heinz",Men,West Germany,Bronze
Montreal,1976,Athletics,Athletics,discus throw,"POWELL, John Gates",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,"BESFAMILNAYA, Nadezhda",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"PODLAS, Ryszard",Men,Poland,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"KOLESNIKOV, Nikolai",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,1500m,"WALKER, John",Men,New Zealand,Gold
Montreal,1976,Athletics,Athletics,800m,"ZINN, Elfi",Women,East Germany,Bronze
Montreal,1976,Athletics,Athletics,1500m,"KAZANKINA, Tatiana",Women,Soviet Union,Gold
Montreal,1976,Athletics,Athletics,marathon,"CIERPINSKI, Waldemar",Men,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"KRIEG, Lothar",Men,West Germany,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,"BODENDORF, Carla",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"PFEIFER, Jörg",Men,East Germany,Silver
Montreal,1976,Athletics,Athletics,800m,"VAN DAMME, Ivo",Men,Belgium,Silver
Montreal,1976,Athletics,Athletics,1500m,"VAN DAMME, Ivo",Men,Belgium,Silver
Montreal,1976,Athletics,Athletics,110m hurdles,"DAVENPORT, Willie",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,20km walk,"BAUTISTA ROCHA, Daniel",Men,Mexico,Gold
Montreal,1976,Athletics,Athletics,discus throw,"SCHLAAK-JAHL, Evelin",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,100m,"RICHTER-IRRGANG, Annegret",Women,West Germany,Gold
Montreal,1976,Athletics,Athletics,200m,"ECKERT-WÖCKEL, Bärbel",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"PIETRZYK, Jerzy",Men,Poland,Silver
Montreal,1976,Athletics,Athletics,400m,"BREHMER-LATHAN, Christina",Women,East Germany,Silver
Montreal,1976,Athletics,Athletics,shot put,"CHRISTOVA-TODOROVA, Ivanka Mikailova",Women,Bulgaria,Gold
Montreal,1976,Athletics,Athletics,pentathlon,"SIEGL, Siegrun",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"MALETZKI, Doris",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,100m hurdles,"LEBEDEVA, Natalya",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,decathlon,"KRATSCHMER, Guido",Men,West Germany,Silver
Montreal,1976,Athletics,Athletics,shot put,"BEYER, Udo",Men,East Germany,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,"BAUMGARTL, Frank",Men,East Germany,Bronze
Montreal,1976,Athletics,Athletics,4x400m relay,"CHISTYAKOVA-SOKOLOVA, Natalya",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,shot put,"MIRONOV, Yevgeni",Men,Soviet Union,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,"SHINE, Michael Lyle",Men,United States,Silver
Montreal,1976,Athletics,Athletics,400m hurdles,"MOSES, Edwin",Men,United States,Gold
Montreal,1976,Athletics,Athletics,decathlon,"JENNER, William Bruce",Men,United States,Gold
Montreal,1976,Athletics,Athletics,3000m steeplechase,"GARDERUD, Anders",Men,Sweden,Gold
Montreal,1976,Athletics,Athletics,pole vault,"SLUSARSKI, Tadeusz",Men,Poland,Gold
Montreal,1976,Athletics,Athletics,long jump,"VOIGT, Angela",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"HAMPTON, Millard Frank Jr.",Men,United States,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"SILOVS, Yuris",Men,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,20km walk,"FRENKEL, Peter",Men,East Germany,Bronze
Montreal,1976,Athletics,Athletics,100m,"QUARRIE, Donald",Men,Jamaica,Silver
Montreal,1976,Athletics,Athletics,pole vault,"ROBERTS, David Luther",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,400m,"FRAZIER, Herman Ronald",Men,United States,Bronze
Montreal,1976,Athletics,Athletics,4x100m relay,"HELTEN, Inge",Women,West Germany,Silver
Montreal,1976,Athletics,Athletics,triple jump,"SANEEV, Viktor",Men,Soviet Union,Gold
Montreal,1976,Athletics,Athletics,400m,"STROPAHL-STREIDT, Ellen",Women,East Germany,Bronze
Montreal,1976,Athletics,Athletics,5000m,"VIREN, Lasse",Men,Finland,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"ECKERT-WÖCKEL, Bärbel",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"BREHMER-LATHAN, Christina",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,10000m,"VIREN, Lasse",Men,Finland,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"JAREMSKI, Zbigniew",Men,Poland,Silver
Montreal,1976,Athletics,Athletics,long jump,"WILLIAMS, Randel Luvelle",Men,United States,Silver
Montreal,1976,Athletics,Athletics,4x100m relay,"KURRAT, Klaus-Dieter",Men,East Germany,Silver
Montreal,1976,Athletics,Athletics,10000m,"FOSTER, Brendan",Men,United Kingdom,Bronze
Montreal,1976,Athletics,Athletics,javelin throw,"NEMETH, Miklos",Men,Hungary,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"KLIMOVOCHA, Inta",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,marathon,"SHORTER, Frank Charles",Men,United States,Silver
Montreal,1976,Athletics,Athletics,shot put,"CHIZHOVA, Nadezhda",Women,Soviet Union,Silver
Montreal,1976,Athletics,Athletics,4x400m relay,"AKSENOVA, Lyudmila",Women,Soviet Union,Bronze
Montreal,1976,Athletics,Athletics,javelin throw,"MEGELEA, Gheorghe",Men,Romania,Bronze
Montreal,1976,Athletics,Athletics,5000m,"QUAX, Dick Theodorus",Men,New Zealand,Silver
Montreal,1976,Athletics,Athletics,20km walk,"REIMANN, Hans",Men,East Germany,Silver
Montreal,1976,Athletics,Athletics,high jump,"WSZOLA, Jacek",Men,Poland,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"NEWHOUSE, Frederick Vaughn",Men,United States,Gold
Montreal,1976,Athletics,Athletics,javelin throw,"FUCHS, Ruth",Women,East Germany,Gold
Montreal,1976,Athletics,Athletics,4x100m relay,"GLANCE, Harvey Edward",Men,United States,Gold
Montreal,1976,Athletics,Athletics,4x400m relay,"ROHDE, Brigitte",Women,East Germany,Gold
